Город;Регион;Федеральный округ;lat;lng
Купино;Новосибирская область;Сибирский;54,366046;77,297254
Курган;Курганская область;Уральский;55,441004;65,341118
Курганинск;Краснодарский край;Южный;44,887641;40,591364
Курильск;Сахалинская область;Дальневосточный;45,225174;147,883761
Курлово;Владимирская область;Центральный;55,454968;40,611208
Куровское;Московская область;Центральный;55,579144;38,920866
Курск;Курская область;Центральный;51,730361;36,192647
Куртамыш;Курганская область;Уральский;54,912459;64,433505
Курчалой;Чечня;Северо-Кавказский;43,20463;46,088955
Курчатов;Курская область;Центральный;51,660496;35,657143
Куса;Челябинская область;Уральский;55,338597;59,438603
Кушва;Свердловская область;Уральский;58,282566;59,764682
Кызыл;Тыва;Сибирский;51,719086;94,437757
Кыштым;Челябинская область;Уральский;55,707877;60,538949
Кяхта;Бурятия;Сибирский;50,355214;106,449903
Лабинск;Краснодарский край;Южный;44,635387;40,724459
Лабытнанги;Ямало-Ненецкий АО;Уральский;66,660595;66,383963
Лагань;Калмыкия;Южный;45,392947;47,355202
Ладушкин;Калининградская область;Северо-Западный;54,569116;20,172954
Лаишево;Татарстан;Приволжский;55,402449;49,543328
Лакинск;Владимирская область;Центральный;56,018001;39,956525
Лангепас;Ханты-Мансийский АО — Югра;Уральский;61,253701;75,180725
Лахденпохья;Карелия;Северо-Западный;61,518857;30,199491
Лебедянь;Липецкая область;Центральный;53,020489;39,13135
Лениногорск;Татарстан;Приволжский;54,599028;52,442667
Ленинск;Волгоградская область;Южный;48,693682;45,199228
Ленинск-Кузнецкий;Кемеровская область;Сибирский;54,663609;86,162243
Ленск;Якутия;Дальневосточный;60,713731;114,911844
Лермонтов;Ставропольский край;Северо-Кавказский;44,105344;42,973175
Лесозаводск;Приморский край;Дальневосточный;45,477955;133,418594
Лесосибирск;Красноярский край;Сибирский;58,221728;92,503657
Ливны;Орловская область;Центральный;52,426549;37,608041
Ликино-Дулёво;Московская область;Центральный;55,707786;38,957742
Липецк;Липецкая область;Центральный;52,60882;39,59922
Липки;Тульская область;Центральный;53,94175;37,701915
Лиски;Воронежская область;Центральный;50,987298;39,497099
Лихославль;Тверская область;Центральный;57,122219;35,466808
Лобня;Московская область;Центральный;56,012269;37,474821
ЛодейноеПоле;Ленинградская область;Северо-Западный;56,012269;37,474821
Лосино-Петровский;Московская область;Центральный;55,87137;38,200606
Луга;Ленинградская область;Северо-Западный;58,735221;29,847999
Луза;Кировская область;Приволжский;60,629099;47,261229
Лукоянов;Нижегородская область;Приволжский;55,032697;44,493349
Луховицы;Московская область;Центральный;54,965217;39,025394
Лысково;Нижегородская область;Приволжский;56,021357;45,040962
Лысьва;Пермский край;Приволжский;58,100413;57,811655
Лыткарино;Московская область;Центральный;55,579297;37,908986
Льгов;Курская область;Центральный;51,656942;35,259432
Любань;Ленинградская область;Северо-Западный;52,798914;27,993481
Люберцы;Московская область;Центральный;55,676494;37,898116
Любим;Ярославская область;Центральный;58,362004;40,686873
Людиново;Калужская область;Центральный;53,864607;34,447678
Лянтор;Ханты-Мансийский АО — Югра;Уральский;61,620663;72,155352
Магадан;Магаданская область;Дальневосточный;59,568164;150,808541
Магас;Ингушетия;Северо-Кавказский;43,171501;44,81624
Магнитогорск;Челябинская область;Уральский;53,407158;58,980282
Майкоп;Адыгея;Южный;44,608865;40,098548
Майский;Кабардино-Балкария;Северо-Кавказский;44,605753;40,093069
Макаров;Сахалинская область;Дальневосточный;48,625101;142,778851
Макарьев;Костромская область;Центральный;57,880009;43,807836
Макушино;Курганская область;Уральский;55,205024;67,248601
МалаяВишера;Новгородская область;Северо-Западный;55,205024;67,248601
Малгобек;Ингушетия;Северо-Кавказский;43,509645;44,590188
Малмыж;Кировская область;Приволжский;56,524461;50,678232
Малоархангельск;Орловская область;Центральный;52,400974;36,502107
Малоярославец;Калужская область;Центральный;55,011897;36,462555
Мамадыш;Татарстан;Приволжский;55,717771;51,410224
Мамоново;Калининградская область;Северо-Западный;54,463785;19,942267
Мантурово;Костромская область;Центральный;58,328617;44,757292
Мариинск;Кемеровская область;Сибирский;56,206952;87,742263
МариинскийПосад;Чувашия;Приволжский;56,206952;87,742263
Маркс;Саратовская область;Приволжский;51,713333;46,740009
Махачкала;Дагестан;Северо-Кавказский;42,98306;47,504682
Мглин;Брянская область;Центральный;53,061069;32,847806
Мегион;Ханты-Мансийский АО — Югра;Уральский;61,03289;76,102612
Медвежьегорск;Карелия;Северо-Западный;62,914998;34,473101
Медногорск;Оренбургская область;Приволжский;51,403794;57,58324
Медынь;Калужская область;Центральный;54,968784;35,857701
Межгорье;Башкортостан;Приволжский;54,239989;57,961225
Междуреченск;Кемеровская область;Сибирский;53,686596;88,070372
Мезень;Архангельская область;Северо-Западный;65,839904;44,25314
Меленки;Владимирская область;Центральный;55,338715;41,63403
Мелеуз;Башкортостан;Приволжский;52,958964;55,92831
Менделеевск;Татарстан;Приволжский;55,895186;52,314397
Мензелинск;Татарстан;Приволжский;55,719972;53,101429
Мещовск;Калужская область;Центральный;54,321476;35,278081
Миасс;Челябинская область;Уральский;55,045635;60,107731
Микунь;Коми;Северо-Западный;62,358008;50,071986
Миллерово;Ростовская область;Южный;48,92173;40,394849
МинеральныеВоды;Ставропольский край;Северо-Кавказский;48,92173;40,394849
Минусинск;Красноярский край;Сибирский;53,710564;91,687268
Миньяр;Челябинская область;Уральский;55,070912;57,548458
Мирный;Якутия;Дальневосточный;62,541028;113,978692
Мирный;Архангельская область;Северо-Западный;62,541028;113,978692
Михайлов;Рязанская область;Центральный;54,232506;39,023508
Михайловка;Волгоградская область;Южный;50,070847;43,239723
Михайловск;Свердловская область;Уральский;45,129667;42,028803
Михайловск;Ставропольский край;Северо-Кавказский;45,129667;42,028803
Мичуринск;Тамбовская область;Центральный;52,893913;40,498011
Могоча;Забайкальский край;Сибирский;53,736206;119,76608
Можайск;Московская область;Центральный;55,506714;36,017358
Можга;Удмуртия;Приволжский;56,442802;52,213839
Моздок;Северная Осетия — Алания;Северо-Кавказский;43,735413;44,653878
Мончегорск;Мурманская область;Северо-Западный;67,938931;32,937116
Морозовск;Ростовская область;Южный;48,351157;41,830878
Моршанск;Тамбовская область;Центральный;53,443611;41,811627
Мосальск;Калужская область;Центральный;54,491307;34,984197
Москва;Москва;Центральный;55,753215;37,622504
Муравленко;Ямало-Ненецкий АО;Уральский;63,795285;74,494448
Мураши;Кировская область;Приволжский;59,3956;48,963851
Мурманск;Мурманская область;Северо-Западный;68,970682;33,074981
Муром;Владимирская область;Центральный;55,579169;42,052411
Мценск;Орловская область;Центральный;53,278939;36,575006
Мыски;Кемеровская область;Сибирский;53,712509;87,805747
Мытищи;Московская область;Центральный;55,910483;37,736402
Мышкин;Ярославская область;Центральный;57,787134;38,455332
НабережныеЧелны;Татарстан;Приволжский;57,787134;38,455332
Навашино;Нижегородская область;Приволжский;55,543888;42,18874
Наволоки;Ивановская область;Центральный;57,470588;41,957765
Надым;Ямало-Ненецкий АО;Уральский;65,535924;72,531341
Назарово;Красноярский край;Сибирский;56,012345;90,417688
Назрань;Ингушетия;Северо-Кавказский;43,225727;44,764641
Называевск;Омская область;Сибирский;55,567066;71,348718
Нальчик;Кабардино-Балкария;Северо-Кавказский;43,485259;43,607072
Нариманов;Астраханская область;Южный;46,690301;47,853623
Наро-Фоминск;Московская область;Центральный;55,38616;36,734493
Нарткала;Кабардино-Балкария;Северо-Кавказский;43,556734;43,862022
Нарьян-Мар;Ненецкий АО;Северо-Западный;67,63805;53,006926
Находка;Приморский край;Дальневосточный;42,824037;132,892811
Невель;Псковская область;Северо-Западный;56,02022;29,923969
Невельск;Сахалинская область;Дальневосточный;46,652828;141,863126
Невинномысск;Ставропольский край;Северо-Кавказский;44,638287;41,936061
Невьянск;Свердловская область;Уральский;57,491225;60,218251
Нелидово;Тверская область;Центральный;56,223296;32,776587
Неман;Калининградская область;Северо-Западный;55,038836;22,028146
Нерехта;Костромская область;Центральный;57,454414;40,572446
Нерчинск;Забайкальский край;Сибирский;51,95948;116,585415
Нерюнгри;Якутия;Дальневосточный;56,659948;124,720315
Нестеров;Калининградская область;Северо-Западный;54,631368;22,571357
Нефтегорск;Самарская область;Приволжский;52,797221;51,163799
Нефтекамск;Башкортостан;Приволжский;56,088408;54,248236
Нефтекумск;Ставропольский край;Северо-Кавказский;44,750586;44,994088
Нефтеюганск;Ханты-Мансийский АО — Югра;Уральский;61,088212;72,616331
Нея;Костромская область;Центральный;58,294389;43,878192
Нижневартовск;Ханты-Мансийский АО — Югра;Уральский;60,939716;76,569628
Нижнекамск;Татарстан;Приволжский;55,63407;51,809112
Нижнеудинск;Иркутская область;Сибирский;54,901233;99,026387
НижниеСерги;Свердловская область;Уральский;54,901233;99,026387
НижнийЛомов;Пензенская область;Приволжский;54,901233;99,026387
НижнийНовгород;Нижегородская область;Приволжский;54,901233;99,026387
НижнийТагил;Свердловская область;Уральский;54,901233;99,026387
НижняяСалда;Свердловская область;Уральский;54,901233;99,026387
НижняяТура;Свердловская область;Уральский;54,901233;99,026387
Николаевск;Волгоградская область;Южный;50,025878;45,45911
Николаевск-на-Амуре;Хабаровский край;Дальневосточный;53,146143;140,711046
Никольск;Вологодская область;Северо-Западный;53,71447;46,084356
Никольск;Пензенская область;Приволжский;53,71447;46,084356
Никольское;Ленинградская область;Северо-Западный;59,704642;30,788966
НоваяЛадога;Ленинградская область;Северо-Западный;59,704642;30,788966
НоваяЛяля;Свердловская область;Уральский;59,704642;30,788966
Новоалександровск;Ставропольский край;Северо-Кавказский;45,493304;41,215388
Новоалтайск;Алтайский край;Сибирский;53,412021;83,93107
Новоаннинский;Волгоградская область;Южный;50,529658;42,66667
Нововоронеж;Воронежская область;Центральный;51,309213;39,216277
Новодвинск;Архангельская область;Северо-Западный;64,413683;40,820821
Новозыбков;Брянская область;Центральный;52,536717;31,933222
Новокубанск;Краснодарский край;Южный;45,103812;41,047493
Новокузнецк;Кемеровская область;Сибирский;53,757547;87,136044
Новокуйбышевск;Самарская область;Приволжский;53,099469;49,947767
Новомичуринск;Рязанская область;Центральный;54,034574;39,750865
Новомосковск;Тульская область;Центральный;54,010993;38,290896
Новопавловск;Ставропольский край;Северо-Кавказский;43,957369;43,631901
Новоржев;Псковская область;Северо-Западный;57,029623;29,332419
Новороссийск;Краснодарский край;Южный;44,723912;37,768974
Новосибирск;Новосибирская область;Сибирский;55,030199;82,92043
Новосиль;Орловская область;Центральный;52,974633;37,043756
Новосокольники;Псковская область;Северо-Западный;56,340749;30,152761
Новотроицк;Оренбургская область;Приволжский;51,196417;58,301767
Новоузенск;Саратовская область;Приволжский;50,466326;48,132119
Новоульяновск;Ульяновская область;Приволжский;54,151718;48,384824
Новоуральск;Свердловская область;Уральский;57,247235;60,095604
Новохопёрск;Воронежская область;Центральный;51,100286;41,631452
Новочебоксарск;Чувашия;Приволжский;56,109551;47,479125
Новочеркасск;Ростовская область;Южный;47,422052;40,093725
Новошахтинск;Ростовская область;Южный;47,757738;39,93643
НовыйОскол;Белгородская область;Центральный;47,757738;39,93643
НовыйУренгой;Ямало-Ненецкий АО;Уральский;47,757738;39,93643
Ногинск;Московская область;Центральный;55,854522;38,441831
Нолинск;Кировская область;Приволжский;57,559708;49,935712
Норильск;Красноярский край;Сибирский;69,349033;88,201176
Ноябрьск;Ямало-Ненецкий АО;Уральский;63,201801;75,450938
Нурлат;Татарстан;Приволжский;54,428117;50,804958
Нытва;Пермский край;Приволжский;57,939127;55,328622
Нюрба;Якутия;Дальневосточный;63,278463;118,336617
Нягань;Ханты-Мансийский АО — Югра;Уральский;62,145759;65,433654
Нязепетровск;Челябинская область;Уральский;56,053673;59,609678
Няндома;Архангельская область;Северо-Западный;61,669822;40,204388
Облучье;Еврейская АО;Дальневосточный;49,018898;131,053914
Обнинск;Калужская область;Центральный;55,11201;36,586531
Обоянь;Курская область;Центральный;51,20995;36,26744
Обь;Новосибирская область;Сибирский;54,994594;82,693758
Одинцово;Московская область;Центральный;55,678859;37,263986
Озёрск;Калининградская область;Северо-Западный;55,763184;60,707599
Озёрск;Челябинская область;Уральский;55,763184;60,707599
Озёры;Московская область;Центральный;54,854087;38,559824
Октябрьск;Самарская область;Приволжский;53,164038;48,670668
Октябрьский;Башкортостан;Приволжский;54,481448;53,46557
Окуловка;Новгородская область;Северо-Западный;58,377145;33,298679
Олёкминск;Якутия;Дальневосточный;60,375796;120,406013
Оленегорск;Мурманская область;Северо-Западный;68,142161;33,26696
Олонец;Карелия;Северо-Западный;60,979719;32,972034
Омск;Омская область;Сибирский;54,989342;73,368212
Омутнинск;Кировская область;Приволжский;58,66406;52,177152
Онега;Архангельская область;Северо-Западный;63,914485;38,086646
Опочка;Псковская область;Северо-Западный;56,714151;28,658881
Орёл;Орловская область;Центральный;52,970371;36,063837
Оренбург;Оренбургская область;Приволжский;51,768199;55,096955
Орехово-Зуево;Московская область;Центральный;55,805837;38,981592
Орск;Оренбургская область;Приволжский;51,229362;58,475196
Оса;Пермский край;Приволжский;57,279672;55,468723
Осинники;Кемеровская область;Сибирский;53,598748;87,337069
Осташков;Тверская область;Центральный;57,142872;33,115441
Остров;Псковская область;Северо-Западный;57,345188;28,343806
Островной;Мурманская область;Северо-Западный;68,05439;39,514105
Острогожск;Воронежская область;Центральный;50,860139;39,082365
Отрадное;Ленинградская область;Северо-Западный;51,666104;39,33658
Отрадный;Самарская область;Приволжский;51,691727;39,21793
Оха;Сахалинская область;Дальневосточный;53,584521;142,947186
Оханск;Пермский край;Приволжский;57,72193;55,388656
Очёр;Пермский край;Приволжский;57,886894;54,715602
Павлово;Нижегородская область;Приволжский;55,964629;43,06457
Павловск;Воронежская область;Центральный;59,686411;30,431598
ПавловскийПосад;Московская область;Центральный;59,686411;30,431598
Палласовка;Волгоградская область;Южный;50,050167;46,880398
Партизанск;Приморский край;Дальневосточный;43,119813;133,123246
Певек;Чукотский АО;Дальневосточный;69,701761;170,299935
Пенза;Пензенская область;Приволжский;53,195063;45,018316
Первомайск;Нижегородская область;Приволжский;54,867632;43,801377
Первоуральск;Свердловская область;Уральский;56,905839;59,943249
Перевоз;Нижегородская область;Приволжский;55,596849;44,544931
Переславль-Залесский;Ярославская область;Центральный;56,736093;38,85431
Пермь;Пермский край;Приволжский;58,010374;56,229398
Пестово;Новгородская область;Северо-Западный;58,599071;35,798098
ПетровВал;Волгоградская область;Южный;58,599071;35,798098
Петровск;Саратовская область;Приволжский;52,314023;45,389931
Петровск-Забайкальский;Забайкальский край;Сибирский;51,274889;108,846689
Петрозаводск;Карелия;Северо-Западный;61,785017;34,346878
Петропавловск-Камчатский;Камчатский край;Дальневосточный;53,024075;158,643566
Петухово;Курганская область;Уральский;55,065035;67,887375
Петушки;Владимирская область;Центральный;55,930967;39,4599
Печора;Коми;Северо-Западный;65,148602;57,223977
Печоры;Псковская область;Северо-Западный;57,813934;27,609064
Пикалёво;Ленинградская область;Северо-Западный;59,513113;34,177303
Пионерский;Калининградская область;Северо-Западный;54,949482;20,224841
Питкяранта;Карелия;Северо-Западный;61,573083;31,471254
Плавск;Тульская область;Центральный;53,706843;37,291987
Плёс;Ивановская область;Центральный;57,460578;41,512254
Поворино;Воронежская область;Центральный;51,190773;42,245576
Подольск;Московская область;Центральный;55,431177;37,544737
Подпорожье;Ленинградская область;Северо-Западный;60,912784;34,156813
Покачи;Ханты-Мансийский АО — Югра;Уральский;61,742253;75,59412
Покров;Владимирская область;Центральный;55,916633;39,173374
Покровск;Якутия;Дальневосточный;61,48424;129,148219
Полевской;Свердловская область;Уральский;56,446499;60,177072
Полесск;Калининградская область;Северо-Западный;54,862777;21,109879
Полысаево;Кемеровская область;Сибирский;54,605443;86,280901
ПолярныеЗори;Мурманская область;Северо-Западный;54,605443;86,280901
Полярный;Мурманская область;Северо-Западный;69,198909;33,451033
Поронайск;Сахалинская область;Дальневосточный;49,22038;143,08956
Порхов;Псковская область;Северо-Западный;57,764855;29,553145
Похвистнево;Самарская область;Приволжский;53,653282;52,122346
Почеп;Брянская область;Центральный;52,92913;33,454267
Починок;Смоленская область;Центральный;54,406265;32,439782
Пошехонье;Ярославская область;Центральный;58,503749;39,12005
Правдинск;Калининградская область;Северо-Западный;54,44634;21,018817
Приволжск;Ивановская область;Центральный;57,380662;41,28083
Приморск;Калининградская область;Северо-Западный;60,366014;28,613552
Приморск;Ленинградская область;Северо-Западный;60,366014;28,613552
Приморско-Ахтарск;Краснодарский край;Южный;46,043502;38,177645
Приозерск;Ленинградская область;Северо-Западный;61,036554;30,119838
Прокопьевск;Кемеровская область;Сибирский;53,884487;86,750055
Пролетарск;Ростовская область;Южный;46,703849;41,727544
Протвино;Московская область;Центральный;54,870621;37,218316
Прохладный;Кабардино-Балкария;Северо-Кавказский;43,758962;44,010083
Псков;Псковская область;Северо-Западный;57,81925;28,332065
Пугачёв;Саратовская область;Приволжский;52,014871;48,795588
Пудож;Карелия;Северо-Западный;61,80589;36,533
Пустошка;Псковская область;Северо-Западный;56,337526;29,36678
Пучеж;Ивановская область;Центральный;56,982087;43,168406
Пушкино;Московская область;Центральный;56,010428;37,847155
Пущино;Московская область;Центральный;54,832479;37,620977
Пыталово;Псковская область;Северо-Западный;57,063925;27,92396
Пыть-Ях;Ханты-Мансийский АО — Югра;Уральский;60,758589;72,836526
Пятигорск;Ставропольский край;Северо-Кавказский;44,03929;43,07084
Радужный;Владимирская область;Центральный;62,134265;77,458439
Радужный;Ханты-Мансийский АО — Югра;Уральский;62,134265;77,458439
Райчихинск;Амурская область;Дальневосточный;49,794114;129,411255
Раменское;Московская область;Центральный;55,567326;38,22584
Рассказово;Тамбовская область;Центральный;52,653842;41,874302
Ревда;Свердловская область;Уральский;56,800079;59,908718
Реж;Свердловская область;Уральский;57,373772;61,391639
Реутов;Московская область;Центральный;55,760515;37,855141
Ржев;Тверская область;Центральный;56,262877;34,329065
Родники;Ивановская область;Центральный;57,107152;41,733366
Рославль;Смоленская область;Центральный;53,947309;32,85678
Россошь;Воронежская область;Центральный;50,192899;39,57652
Ростов-на-Дону;Ростовская область;Южный;47,222078;39,720349
Ростов;Ярославская область;Центральный;47,222078;39,720349
Рошаль;Московская область;Центральный;55,663283;39,862759
Ртищево;Саратовская область;Приволжский;52,257455;43,785657
Рубцовск;Алтайский край;Сибирский;51,501207;81,2078
Рудня;Смоленская область;Центральный;54,947031;31,093576
Руза;Московская область;Центральный;55,701516;36,195997
Рузаевка;Мордовия;Приволжский;54,058268;44,94911
Рыбинск;Ярославская область;Центральный;58,048454;38,858406
Рыбное;Рязанская область;Центральный;54,730806;39,505463
Рыльск;Курская область;Центральный;51,571431;34,683288
Ряжск;Рязанская область;Центральный;53,708949;40,062894
Рязань;Рязанская область;Центральный;54,629216;39,736375
Салават;Башкортостан;Приволжский;53,361651;55,924672
Салаир;Кемеровская область;Сибирский;54,235127;85,803007
Салехард;Ямало-Ненецкий АО;Уральский;66,529844;66,614399
Сальск;Ростовская область;Южный;46,475177;41,541135
Самара;Самарская область;Приволжский;53,195538;50,101783
Санкт-Петербург;Санкт-Петербург;Северо-Западный;59,939095;30,315868
Саранск;Мордовия;Приволжский;54,187433;45,183938
Сарапул;Удмуртия;Приволжский;56,461621;53,803678
Саратов;Саратовская область;Приволжский;51,533103;46,034158
Саров;Нижегородская область;Приволжский;54,922788;43,344844
Сасово;Рязанская область;Центральный;54,349928;41,924087
Сатка;Челябинская область;Уральский;55,040492;59,028881
Сафоново;Смоленская область;Центральный;55,106304;33,237917
Саяногорск;Хакасия;Сибирский;53,100762;91,412195
Саянск;Иркутская область;Сибирский;53,139472;91,4792
Светлогорск;Калининградская область;Северо-Западный;54,944006;20,151512
Светлоград;Ставропольский край;Северо-Кавказский;45,328573;42,856628
Светлый;Калининградская область;Северо-Западный;54,67737;20,135719
Светогорск;Ленинградская область;Северо-Западный;61,111193;28,87268
Свирск;Иркутская область;Сибирский;53,066567;103,342244
Свободный;Амурская область;Дальневосточный;51,375889;128,134147
Себеж;Псковская область;Северо-Западный;56,277398;28,484814
Северо-Курильск;Сахалинская область;Дальневосточный;50,676327;156,124106
Северобайкальск;Бурятия;Сибирский;55,635996;109,335597
Северодвинск;Архангельская область;Северо-Западный;64,562501;39,818175
Североморск;Мурманская область;Северо-Западный;69,076153;33,416215
Североуральск;Свердловская область;Уральский;60,153281;59,952556
Северск;Томская область;Сибирский;56,603185;84,880913
Севск;Брянская область;Центральный;52,156089;34,495091
Сегежа;Карелия;Северо-Западный;63,743701;34,312617
Сельцо;Брянская область;Центральный;53,373933;34,105932
Семёнов;Нижегородская область;Приволжский;56,789012;44,490331
Семикаракорск;Ростовская область;Южный;47,517792;40,811505
Семилуки;Воронежская область;Центральный;51,695255;39,018953
Сенгилей;Ульяновская область;Приволжский;53,96207;48,790584
Серафимович;Волгоградская область;Южный;49,584135;42,734008
Сергач;Нижегородская область;Приволжский;55,520105;45,481361
СергиевПосад;Московская область;Центральный;55,520105;45,481361
Сердобск;Пензенская область;Приволжский;52,455683;44,202735
Серпухов;Московская область;Центральный;54,913536;37,416763
Сертолово;Ленинградская область;Северо-Западный;60,141613;30,211879
Сибай;Башкортостан;Приволжский;52,72051;58,666429
Сим;Челябинская область;Уральский;54,990716;57,689969
Сковородино;Амурская область;Дальневосточный;53,987177;123,943632
Скопин;Рязанская область;Центральный;53,82359;39,549328
Славгород;Алтайский край;Сибирский;52,999375;78,64594
Славск;Калининградская область;Северо-Западный;55,043819;21,680067
Славянск-на-Кубани;Краснодарский край;Южный;45,260439;38,126001
Сланцы;Ленинградская область;Северо-Западный;59,11779;28,088136
Слободской;Кировская область;Приволжский;58,731886;50,183674
Слюдянка;Иркутская область;Сибирский;51,656501;103,718845
Смоленск;Смоленская область;Центральный;54,782635;32,045251
Снежинск;Челябинская область;Уральский;56,085209;60,732536
Снежногорск;Мурманская область;Северо-Западный;69,192168;33,238303
Собинка;Владимирская область;Центральный;55,993837;40,017943
Советск;Калининградская область;Северо-Западный;57,587599;48,959521
Советск;Кировская область;Приволжский;57,587599;48,959521
Советск;Тульская область;Центральный;57,587599;48,959521
СоветскаяГавань;Хабаровский край;Дальневосточный;57,587599;48,959521
Сокол;Вологодская область;Северо-Западный;59,460968;40,099977
Солигалич;Костромская область;Центральный;59,07858;42,287815
Соликамск;Пермский край;Приволжский;59,648333;56,771029
Солнечногорск;Московская область;Центральный;56,185102;36,977631
Соль-Илецк;Оренбургская область;Приволжский;51,16185;54,980336
Сольвычегодск;Архангельская область;Северо-Западный;61,330589;46,928089
Сольцы;Новгородская область;Северо-Западный;58,120168;30,309355
Сорочинск;Оренбургская область;Приволжский;52,429092;53,151016
Сорск;Хакасия;Сибирский;54,002606;90,253323
Сортавала;Карелия;Северо-Западный;61,703306;30,691723
Сосенский;Калужская область;Центральный;54,059489;35,966038
Сосновка;Кировская область;Приволжский;56,253352;51,283364
Сосновоборск;Красноярский край;Сибирский;56,120211;93,335434
СосновыйБор;Ленинградская область;Северо-Западный;56,120211;93,335434
Сосногорск;Коми;Северо-Западный;63,59911;53,876441
Сочи;Краснодарский край;Южный;43,585525;39,723062
Спас-Деменск;Калужская область;Центральный;54,409834;34,018948
Спас-Клепики;Рязанская область;Центральный;55,131038;40,175786
Спасск;Пензенская область;Приволжский;53,926494;43,187729
Спасск-Дальний;Приморский край;Дальневосточный;44,597641;132,817559
Спасск-Рязанский;Рязанская область;Центральный;54,407072;40,376424
Среднеколымск;Якутия;Дальневосточный;67,458183;153,707009
Среднеуральск;Свердловская область;Уральский;56,991837;60,477136
Сретенск;Забайкальский край;Сибирский;52,246252;117,71192
Ставрополь;Ставропольский край;Северо-Кавказский;45,044521;41,969083
СтараяКупавна;Московская область;Центральный;45,044521;41,969083
СтараяРусса;Новгородская область;Северо-Западный;45,044521;41,969083
Старица;Тверская область;Центральный;56,514927;34,933586
Стародуб;Брянская область;Центральный;52,585277;32,760346
СтарыйКрымОспаривается;Крым;Южный;52,585277;32,760346
СтарыйОскол;Белгородская область;Центральный;52,585277;32,760346
Стерлитамак;Башкортостан;Приволжский;53,630403;55,930825
Стрежевой;Томская область;Сибирский;60,732862;77,604002
Струнино;Владимирская область;Центральный;56,37493;38,584079
Ступино;Московская область;Центральный;54,88688;38,07839
Суворов;Тульская область;Центральный;54,122083;36,490339
Суджа;Курская область;Центральный;51,190953;35,268918
Судогда;Владимирская область;Центральный;55,949879;40,856295
Суздаль;Владимирская область;Центральный;56,419836;40,449457
Сунжа;Ингушетия;Северо-Кавказский;43,320353;45,047682
Суоярви;Карелия;Северо-Западный;62,087896;32,373738
Сураж;Брянская область;Центральный;53,013891;32,393043
Сургут;Ханты-Мансийский АО — Югра;Уральский;61,254035;73,396221
Суровикино;Волгоградская область;Южный;48,605493;42,844195
Сурск;Пензенская область;Приволжский;53,07604;45,6911
Сусуман;Магаданская область;Дальневосточный;62,780464;148,153687
Сухиничи;Калужская область;Центральный;54,101752;35,339319
СухойЛог;Свердловская область;Уральский;54,101752;35,339319
Сызрань;Самарская область;Приволжский;53,155782;48,474485
Сыктывкар;Коми;Северо-Западный;61,668793;50,836399
Сысерть;Свердловская область;Уральский;56,502281;60,810025
Сычёвка;Смоленская область;Центральный;55,83161;34,277834
Сясьстрой;Ленинградская область;Северо-Западный;60,141954;32,556743
Тавда;Свердловская область;Уральский;58,041871;65,272595
Таганрог;Ростовская область;Южный;47,220983;38,9173
Тайга;Кемеровская область;Сибирский;56,065138;85,631024
Тайшет;Иркутская область;Сибирский;55,940502;98,002982
Талдом;Московская область;Центральный;56,73084;37,527633
Талица;Свердловская область;Уральский;56,595192;37,661689
Тамбов;Тамбовская область;Центральный;52,721219;41,452274
Тарко-Сале;Ямало-Ненецкий АО;Уральский;64,911819;77,761055
Таруса;Калужская область;Центральный;54,729122;37,17959
Татарск;Новосибирская область;Сибирский;55,214532;75,97409
Таштагол;Кемеровская область;Сибирский;52,763912;87,848309
Тверь;Тверская область;Центральный;56,859611;35,911896
Теберда;Карачаево-Черкесия;Северо-Кавказский;43,443841;41,741423
Тейково;Ивановская область;Центральный;56,85436;40,535471
Темников;Мордовия;Приволжский;54,630967;43,216089
Темрюк;Краснодарский край;Южный;45,27841;37,370194
Терек;Кабардино-Балкария;Северо-Кавказский;43,483865;44,140267
Тетюши;Татарстан;Приволжский;54,936931;48,830074
Тимашёвск;Краснодарский край;Южный;45,61478;38,934332
Тихвин;Ленинградская область;Северо-Западный;59,644209;33,542096
Тихорецк;Краснодарский край;Южный;45,85468;40,125929
Тобольск;Тюменская область;Уральский;58,201698;68,253762
Тогучин;Новосибирская область;Сибирский;55,238013;84,402865
Тольятти;Самарская область;Приволжский;53,508816;49,419207
Томари;Сахалинская область;Дальневосточный;47,762214;142,061627
Томмот;Якутия;Дальневосточный;58,958666;126,287579
Томск;Томская область;Сибирский;56,48464;84,947649
Топки;Кемеровская область;Сибирский;55,276508;85,615223
Торжок;Тверская область;Центральный;57,041338;34,96014
Торопец;Тверская область;Центральный;56,501173;31,635466
Тосно;Ленинградская область;Северо-Западный;59,540664;30,877719
Тотьма;Вологодская область;Северо-Западный;59,973487;42,758873
Трёхгорный;Челябинская область;Уральский;54,817842;58,446423
Троицк;Челябинская область;Уральский;54,083217;61,559759
Трубчевск;Брянская область;Центральный;52,579077;33,766073
Туапсе;Краснодарский край;Южный;44,09564;39,073553
Туймазы;Башкортостан;Приволжский;54,599988;53,695008
Тула;Тульская область;Центральный;54,193122;37,617348
Туран;Тыва;Сибирский;52,144916;93,917309
Туринск;Свердловская область;Уральский;58,039442;63,698144
Тутаев;Ярославская область;Центральный;57,8688;39,530759
Тында;Амурская область;Дальневосточный;55,154656;124,729236
Тырныауз;Кабардино-Балкария;Северо-Кавказский;43,398084;42,921423
Тюкалинск;Омская область;Сибирский;55,870506;72,195506
